x,y,z
-205.10805093866534,-159.78325143813373,70
-201.4016956879285,-159.64447054009432,70
-197.75836081066123,-159.39771243490398,70
-194.07147147777846,-159.17683235461692,70
-190.29609999161667,-159.03268320688244,70
-186.64670651322666,-158.70729960454065,70
-183.7884166181101,-158.9679776464681,70
-180.9849579974186,-159.13970271014276,70
-179.05934838292114,-159.80534958718894,70
-176.22385362047837,-159.96610083123304,70
-173.39849747283273,-160.09047777480092,70
-170.58369106192436,-160.17866382165244,70
-168.67257849019506,-160.7437751997538,70
-166.76245891037837,-161.28943641219772,70
-164.01636893285334,-161.24090895948873,70
-160.3439405071002,-160.68235977435577,70
-157.62810123523863,-160.55647511381585,70
-154.87885678854872,-160.441701935227,70
-153.69014693080933,-161.58074989424404,70
-151.80923486424734,-161.98134525287716,70
-148.21895517217067,-161.22078441587504,70
-145.5587146407192,-160.93992852036962,70
-143.7012967519414,-161.2635647373903,70
-141.676669170788,-161.718030573808,70
-139.00205701820735,-161.39215639152675,70
-137.15978283541313,-161.65145830626554,70
-134.37093562114967,-161.3829348484432,70
-132.5571768100591,-161.58463688156348,70
-129.91833029153108,-161.1528077765344,70
-128.74061141792308,-162.09520341990176,70
-126.1226171011987,-161.6109076007694,70
-124.19241593826635,-161.84017987946208,70
-122.2205076766546,-162.08376693321514,70
-119.65805851445177,-161.50216417296716,70
-116.67734186114795,-162.43890511886866,70
-102.06917374474627,-150.68471644816805,70
-99.68687354275414,-149.8750387598647,70
-97.90059553832751,-149.85484107375646,70
-96.09296453398792,-149.83371505462225,70
-94.45081437480408,-149.69316505417441,70
-92.65805209229688,-149.63450598862948,70
-90.23954434267155,-148.77104771032236,70
-88.45552032072641,-148.67622851279742,70
-86.86504638407287,-148.45357428062442,70
-85.09751147162805,-148.32199277698547,70
-83.39521190281197,-148.1392541890403,70
-82.2995347411614,-148.75075321284382,70
-80.5649066716061,-148.56074788784352,70
-78.83937679887596,-148.3521239010917,70
-77.12313528555379,-148.12502153156356,70
-75.44476002420521,-147.86510130821975,70
-73.7476082300166,-147.60179633172487,70
-72.65590224584243,-148.1422285131508,70
-71.09816598520504,-147.78718074833228,70
-69.45118655917216,-147.46366564521261,70
-67.78615705412696,-147.13611695240988,70
-66.13162789383722,-146.7910344404966,70
-65.04611505489542,-147.27526240433357,70
-63.404983773209324,-146.90067403766076,70
-61.817020416188825,-146.49114644532105,70
-60.69177641498418,-146.96090730392748,70
-59.605157708367216,-147.40496997917225,70
-57.992366607622515,-146.9723967799638,70
-56.90573664311407,-147.3965302749849,70
-55.35018575592898,-146.91955940848771,70
-54.22184646458384,-147.33971415056803,70
-53.14678886370196,-147.73090006317935,70
-52.05469116870066,-148.1192395583072,70
-50.479595771334544,-147.60694567249425,70
-49.38848587860075,-147.9755975241163,70
-48.294942979496284,-148.33609972831024,70
-46.74018932713992,-147.78482568133683,70
-45.647868111498916,-148.12586586033922,70
-44.5530588751145,-148.4588324919423,70
-43.45582129017325,-148.78370742791876,70
-42.370787806232926,-149.09633241860507,70
-40.83189228593538,-148.4882371514652,70
-39.74882123931776,-148.78182419262362,70
-38.6493300380342,-149.07122219801886,70
-37.504980969575755,-149.3632364488389,70
-36.05071002254625,-148.6921191821217,70
-34.90934467400825,-148.96421601992637,70
-33.80863881998932,-149.21788076882578,70
-32.72043754510184,-149.46027220253913,70
-31.616390393810583,-149.6977082605681,70
-30.510359145120688,-149.9270422066538,70
-29.40266494020585,-150.1482044328669,70
-27.950957005160618,-149.40797837630913,70
-27.153884952103706,-150.57113445812882,70
-26.04152709470779,-150.7674993709705,70
-24.60671549265737,-149.99503175993334,70
-23.498680230915646,-150.1726074469148,70
-22.389626578256166,-150.34195895253674,70
-21.27909048638988,-150.50315713655988,70
-20.181856444777114,-150.6542155747472,70
-19.069075230404504,-150.79910599820272,70
-17.955518095498764,-150.93574583219913,70
-16.797215045361174,-151.06903576418264,70
-15.695976610275975,-151.18742116409575,70
-14.310579432122875,-150.3203489761679,70
-13.21512499125275,-150.42061185710412,70
-12.10425825696732,-150.5140755280005,70
-10.992731784409825,-150.5993354829829,70
-9.880606156933814,-150.67638707498784,70
-8.957101527822214,-151.73585710773932,70
-7.626110353606564,-150.80730234598926,70
-6.5125411224798615,-150.8594935962865,70
-5.398880303844813,-150.90345288118743,70
-4.487790020139859,-151.9337347027813,70
-3.3222279682893974,-151.96368908830397,70
-2.200504061928871,-151.98407081623202,70
-1.2614608218767513,-152.99479963905594,70
-0.13191545918036826,-152.99994313172678,70
1.0414299226458612,-152.99645559200454,70
2.156239274481557,-152.98480523304,70
3.2856177114584355,-152.96471722673223,70
4.281125017597745,-153.94048190318134,70
5.44704847488442,-153.90363758830478,70
6.583120670945598,-153.85922956466334,70
7.718565613483744,-153.80644897035478,70
8.853858393384566,-153.74527372101522,70
9.973916740909672,-153.67667677577296,70
11.1081899912333,-153.5988545371308,70
12.202691980293391,-154.51891246198338,70
13.328298684092406,-154.4258930820464,70
14.467742395749697,-154.32331136276926,70
15.606667072325179,-154.21229504450545,70
16.789115980060036,-154.08804491136908,70
17.911192612440715,-153.96164840375036,70
19.047353406676052,-153.82522006550548,70
20.18247603171867,-153.68040753859648,70
21.32052270156341,-154.53619418030237,70
22.460832268765458,-154.37458020605072,70
23.599917616328778,-154.2045521004568,70
24.737447832485056,-154.0261623060676,70
25.859131245304276,-153.84181918853577,70
26.994190779529877,-153.64671706274217,70
28.189485637019324,-154.44854450437623,70
29.314155170390755,-154.2390362607542,70
30.45205307200886,-154.01841598880165,70
31.588291195353708,-153.7894009981102,70
32.72253961131821,-153.5520608828996,70
33.93787747381444,-154.3120879016688,70
35.07591980402032,-154.05739141599773,70
36.21231965920097,-153.79423885471084,70
37.33200848117163,-153.5262881162758,70
38.508288669567825,-153.2354779538382,70
39.63852706420915,-152.9470077254863,70
40.84790915416235,-153.66342543928045,70
41.98097552651003,-153.35774415999526,70
43.15609354815798,-153.0312111618497,70
44.28469724385151,-152.70843326424514,70
45.51982998010435,-153.38821688311785,70
46.65100491594565,-153.0479785568317,70
47.77963715543041,-152.69939840515224,70
48.934646069381465,-152.3331888134177,70
50.209570705788366,-152.97058217036516,70
51.32288619841754,-152.60065973731662,70
52.65621690483696,-153.20353397122,70
53.77116488973574,-152.81577741320052,70
55.07480216541603,-153.41370918676168,70
56.24996425667947,-152.98673642222153,70
57.55303296643507,-153.56968579887254,70
58.685219695710714,-153.14060529221558,70
60.17892858736998,-153.6342948500634,70
61.34066184063179,-153.17415971681797,70
62.686428545489036,-153.7088536038549,70
64.07074468926528,-154.22042560881158,70
65.20755799672878,-153.7432092162228,70
66.56069535074079,-154.2519816223632,70
67.69740541346813,-153.75650002612747,70
69.10745596653088,-154.22438046506784,70
70.49650129415569,-154.694031252932,70
71.66623303413095,-154.15560658859488,70
72.80209268746738,-153.6224439993239,70
74.50711996683525,-155.02480148107793,70
75.64931770300426,-154.4706468267351,70
77.23410266939595,-154.8027563864843,70
78.6494236657331,-155.21039964206014,70
80.1173451013261,-155.58345353512055,70
81.59345295973793,-155.94392721137632,70
82.74251278607315,-155.33729937734375,70
84.19961534256134,-155.69015632391378,70
85.34645999838536,-155.06444391202004,70
86.9626542167719,-155.31096796934258,70
88.48240998116292,-155.60161671372634,70
89.99510269730419,-155.88740003766074,70
91.47001584971208,-156.18654295570224,70
93.13231367936153,-156.36614770700535,70
94.66695379264854,-156.6115189238025,70
96.17888879532448,-156.86179059954853,70
97.33432742237954,-156.14745820932538,70
99.4191702476086,-157.19996369998634,70
100.9818161808958,-157.3901928355378,70
102.14102493936196,-156.64038758997197,70
104.21814460272753,-157.66920541299424,70
105.81573177150175,-157.80694189312962,70
107.3590280224716,-157.97164018288268,70
108.52235562429581,-157.17473820482053,70
110.69169821830751,-158.10233377640932,70
112.2991133451409,-158.19263302029964,70
114.04880349556814,-158.17038414706238,70
115.63721532930181,-158.25307084187872,70
117.26160850280459,-158.2994477922617,70
